Imagen,GT,Sistema_Region,Sistema_Deteccion_OK,Sistema_Region_OK,ministral-3:8b_Region,ministral-3:8b_Det_OK,ministral-3:8b_Reg_OK,ministral-3:8b_Latencia_ms,qwen2.5vl:latest_Region,qwen2.5vl:latest_Det_OK,qwen2.5vl:latest_Reg_OK,qwen2.5vl:latest_Latencia_ms,qwen3-vl:latest_Region,qwen3-vl:latest_Det_OK,qwen3-vl:latest_Reg_OK,qwen3-vl:latest_Latencia_ms,Notas
"Screenshot_2026-06-03_18-28-43.png","superior-centro","superior-centro","Sí","Sí","medio-derecha","Sí","No","57056","superior-izquierda","Sí","No","35090","superior-derecha","Sí","No","241928",""
"Screenshot_2026-06-03_18-28-49.png","inferior-derecha","no_pointing","No","","inferior-derecha","Sí","Sí","51275","superior-derecha","Sí","No","84823","superior-izquierda","Sí","No","222216",""
"Screenshot_2026-06-03_18-28-56.png","no_pointing","no_pointing","Sí","","no_pointing","Sí","","57287","superior-izquierda","No","","87835","no_pointing","Sí","","223875",""
"Screenshot_2026-06-03_18-29-01.png","medio-izquierda","medio-izquierda","Sí","Sí","medio-centro","Sí","No","53945","superior-izquierda","Sí","No","80229","superior-izquierda","Sí","No","223869",""
"Screenshot_2026-06-03_18-29-08.png","superior-izquierda","superior-izquierda","Sí","Sí","medio-centro","Sí","No","52284","superior-izquierda","Sí","Sí","85395","superior-izquierda","Sí","Sí","251244",""
"Screenshot_2026-06-03_18-29-12.png","inferior-izquierda","inferior-izquierda","Sí","Sí","medio-centro","Sí","No","101005","superior-izquierda","Sí","No","88437","medio-centro","Sí","No","245177",""
"Screenshot_2026-06-03_18-29-19.png","fuera_pizarra","fuera_pizarra","Sí","Sí","medio-derecha","Sí","No","103117","superior-derecha","Sí","No","95464","inferior-izquierda","Sí","No","244355",""
"Screenshot_2026-06-03_18-29-28.png","medio-derecha","medio-derecha","Sí","Sí","inferior-derecha","Sí","No","60728","superior-derecha","Sí","No","83282","medio-centro","Sí","No","251623",""
"Screenshot_2026-06-03_18-29-33.png","no_pointing","no_pointing","Sí","","no_pointing","Sí","","61561","superior-izquierda","No","","89460","no_pointing","Sí","","227443",""
"Screenshot_2026-06-03_18-29-38.png","inferior-derecha","inferior-derecha","Sí","Sí","medio-derecha","Sí","No","64869","superior-derecha","Sí","No","82709","medio-centro","Sí","No","224584",""
"Screenshot_2026-06-03_18-29-43.png","superior-centro","superior-centro","Sí","Sí","inferior-derecha","Sí","No","50377","superior-derecha","Sí","No","87172","superior-izquierda","Sí","No","245373",""
"Screenshot_2026-06-03_18-29-48.png","inferior-centro","inferior-centro","Sí","Sí","medio-derecha","Sí","No","57935","superior-izquierda","Sí","No","86869","medio-centro","Sí","No","240803",""
"Screenshot_2026-06-03_18-29-58.png","fuera_pizarra","inferior-derecha","Sí","No","medio-centro","Sí","No","54985","superior-derecha","Sí","No","83169","medio-centro","Sí","No","240286",""
"Screenshot_2026-06-03_18-30-03.png","inferior-centro","inferior-centro","Sí","Sí","medio-centro","Sí","No","59872","superior-izquierda","Sí","No","87236","superior-izquierda","Sí","No","233220",""
"Screenshot_2026-06-03_18-30-08.png","superior-izquierda","superior-centro","Sí","No","medio-derecha","Sí","No","58096","superior-izquierda","Sí","Sí","82300","superior-izquierda","Sí","Sí","222450",""
"Screenshot_2026-06-03_18-30-12.png","inferior-izquierda","inferior-izquierda","Sí","Sí","medio-centro","Sí","No","56517","superior-izquierda","Sí","No","84478","superior-izquierda","Sí","No","233233",""
"Screenshot_2026-06-03_18-30-40.png","no_pointing","superior-derecha","No","","no_pointing","Sí","","57605","superior-izquierda","No","","87262","no_pointing","Sí","","237885",""
"Screenshot_2026-06-03_18-30-44.png","no_pointing","no_pointing","Sí","","fuera_pizarra","No","","66098","superior-izquierda","No","","96479","no_pointing","Sí","","246810",""
"Screenshot_2026-06-03_18-30-19.png","superior-derecha","superior-derecha","Sí","Sí","inferior-derecha","Sí","No","64779","superior-derecha","Sí","Sí","88183","medio-centro","Sí","No","245732",""
"Screenshot_2026-06-03_18-30-24.png","inferior-derecha","inferior-derecha","Sí","Sí","inferior-derecha","Sí","Sí","52408","superior-derecha","Sí","No","86288","medio-centro","Sí","No","224666",""
