Imagen,GT,Sistema_Region,Sistema_Deteccion_OK,Sistema_Region_OK,ministral-3:8b_Region,ministral-3:8b_Det_OK,ministral-3:8b_Reg_OK,ministral-3:8b_Latencia_ms,qwen2.5vl:latest_Region,qwen2.5vl:latest_Det_OK,qwen2.5vl:latest_Reg_OK,qwen2.5vl:latest_Latencia_ms,qwen3-vl:latest_Region,qwen3-vl:latest_Det_OK,qwen3-vl:latest_Reg_OK,qwen3-vl:latest_Latencia_ms,Notas
"Screenshot_2026-06-03_18-28-43.png","superior-centro","superior-centro","Sí","Sí","medio-centro","Sí","No","25653","superior-centro","Sí","Sí","25445","superior-centro","Sí","Sí","63687",""
"Screenshot_2026-06-03_18-28-49.png","inferior-derecha","no_pointing","No","","medio-centro","Sí","No","24751","superior-centro","Sí","No","24977","medio-derecha","Sí","No","122614",""
"Screenshot_2026-06-03_18-28-56.png","no_pointing","no_pointing","Sí","","medio-centro","No","","37528","no_pointing","Sí","","26231","no_pointing","Sí","","66093",""
"Screenshot_2026-06-03_18-29-01.png","medio-izquierda","medio-izquierda","Sí","Sí","medio-centro","Sí","No","25040","superior-centro","Sí","No","23775","superior-izquierda","Sí","No","87485",""
"Screenshot_2026-06-03_18-29-08.png","superior-izquierda","superior-izquierda","Sí","Sí","medio-centro","Sí","No","26907","superior-centro","Sí","No","25887","superior-izquierda","Sí","Sí","59619",""
"Screenshot_2026-06-03_18-29-12.png","inferior-izquierda","inferior-izquierda","Sí","Sí","medio-centro","Sí","No","15137","superior-centro","Sí","No","26036","medio-izquierda","Sí","No","121873",""
"Screenshot_2026-06-03_18-29-19.png","fuera_pizarra","fuera_pizarra","Sí","Sí","medio-centro","Sí","No","17886","superior-derecha","Sí","No","28070","superior-derecha","Sí","No","90373",""
"Screenshot_2026-06-03_18-29-28.png","medio-derecha","medio-derecha","Sí","Sí","medio-centro","Sí","No","19764","superior-centro","Sí","No","28433","superior-derecha","Sí","No","243092",""
"Screenshot_2026-06-03_18-29-33.png","no_pointing","no_pointing","Sí","","fuera_pizarra","No","","17710","no_pointing","Sí","","25922","no_pointing","Sí","","61886",""
"Screenshot_2026-06-03_18-29-38.png","inferior-derecha","inferior-derecha","Sí","Sí","medio-centro","Sí","No","18296","superior-centro","Sí","No","23940","superior-derecha","Sí","No","151501",""
"Screenshot_2026-06-03_18-29-43.png","superior-centro","superior-centro","Sí","Sí","medio-centro","Sí","No","20370","superior-centro","Sí","Sí","21572","superior-centro","Sí","Sí","72596",""
"Screenshot_2026-06-03_18-29-48.png","inferior-centro","inferior-centro","Sí","Sí","medio-centro","Sí","No","19334","superior-centro","Sí","No","24933","inferior-derecha","Sí","No","91732",""
"Screenshot_2026-06-03_18-29-58.png","fuera_pizarra","inferior-derecha","Sí","No","medio-centro","Sí","No","17393","superior-centro","Sí","No","22974","medio-derecha","Sí","No","158647",""
"Screenshot_2026-06-03_18-30-03.png","inferior-centro","inferior-centro","Sí","Sí","medio-centro","Sí","No","18213","superior-centro","Sí","No","24456","medio-centro","Sí","No","57573",""
"Screenshot_2026-06-03_18-30-08.png","superior-izquierda","superior-centro","Sí","No","medio-centro","Sí","No","18263","superior-centro","Sí","No","21950","medio-centro","Sí","No","57202",""
"Screenshot_2026-06-03_18-30-12.png","inferior-izquierda","inferior-izquierda","Sí","Sí","medio-centro","Sí","No","16502","superior-centro","Sí","No","22461","medio-izquierda","Sí","No","138393",""
"Screenshot_2026-06-03_18-30-40.png","no_pointing","superior-derecha","No","","medio-centro","No","","17774","no_pointing","Sí","","22404","no_pointing","Sí","","55355",""
"Screenshot_2026-06-03_18-30-44.png","no_pointing","no_pointing","Sí","","medio-centro","No","","20484","superior-centro","No","","24314","no_pointing","Sí","","53307",""
"Screenshot_2026-06-03_18-30-19.png","superior-derecha","superior-derecha","Sí","Sí","medio-centro","Sí","No","16859","superior-centro","Sí","No","22335","superior-derecha","Sí","Sí","65175",""
"Screenshot_2026-06-03_18-30-24.png","inferior-derecha","inferior-derecha","Sí","Sí","medio-centro","Sí","No","16454","superior-centro","Sí","No","22118","medio-derecha","Sí","No","159225",""
